,Business Name,Address,City State Zip,Phone
0,#1 Green Planet Building,11965 Venice Blvd. Suite 203,"Los Angeles, California 90066", 310-577-5000
1,17 Jewels Salon & Spa,"4801 Telegraph Ave,","Oakland, California 94609", 510-653-1059
2,5STARCLEANINGPROS.COM,PO Box 2258,"Ramona, California 92065", 760-978-0665
3,911 Photo Booths,P.o Box 633 ,"Santa Clarita, California 91310", 661-670-3740
4,A & J Portable toilet rentals,2121 Cover st,"Long Beach, California 90807", 562-299-8582
5,A Novel Space,2509 W. 109th Street,"Inglewood, California 90303", 323-242-0930
6,A Party Comes 2 U,1144 N First St,"Fresno, California 93702", 559-281-6029
7,A Quality Grooming,610 Marin St,"Vallejo, California 94590", 707-655-1314
8,A Step Above Dance Studio,1850 Hacienda Drive Suite 12,"Vista, California 92081", 760-501-0078
9,A Touch of Iris,26179 Bruno Street,"Esparto, California 95627", 530-787-3937
10,A.S.D. Interiors,13440 Ventura Blvd #110,"Los Angeles, California 91423", 818-817-9586
11,A1 Machining and Welding,2454 Fender Ave # B,"Fullerton, California 92831", 714-983-2550
12,ABC Organizers Unlimited,PO BOX 1136,"Los Angeles, California 90232", 424-303-9734
13,Absolutely Free Psychic Reading,1301 Marina Village Pkwy Suite 250,"Alameda, California 94501", 414-455-1840
14,Academic Success,Los Angeles CA,"Marina del Rey, California 90292", 310-823-4398
15,ADORN,P.O. Box 27332,"Santa Ana, California 92704", 714-277-7843
16,aHappyChildhood,954 Henderson Avenue,"Sunnyvale, California 94086", 408-991-3158
17,Alejandra Amarilla,Los Angeles,"Los Angeles, California 90064", 888-888-8888
18,Alexa Spa,"7297 Ronson Rd, Suite J","San Diego, California 92111", 858-262-9649
19,"Alltec Integrated Manufacturing, Inc.",4330-B Santa Fe Road,"San Luis Obispo, California 93401", 805-595-3500
20,alpha animal resort,3626 wisecarver lane,"Jamul, California 91935", 619-468-3345
21,Alpha K-9 Academy,1618 Willowbrook Dr.,"San Jose, California 95118", 408-978-1309
22,Alterations Brenda's Golden Stitch,"55 Maria Drive, Suite #848","Petaluma, California 94954", 707-763-4925
23,Amador Alebrijes,265 Campbell Lane,"Pleasant Hill, California 94523", 925-935-0976
24,American Regency Inn,3131 Hamner Ave,"Norco, California 92860", 951-736-6400
25,"Amon's Essay, Term Papers and Reports",14849 Oak St,"Sacramento, California 95616", 530-916-2132
